YEAR,QUARTER,MONTH,WEEK,DAY,DAY_OF_WEEK,IS_WEEKEND,SEASON,HOUR,TIME_OF_DAY,PART,CRIME_TYPE,CRIME_CATEGORY,SEVERITY,ARREST,QUALITY_OF_LIFE,ADDRESS,LAT,LON,DATEEND
2023,3,7,29,17,Monday,False,Summer,19.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-07-17
2023,2,5,19,9,Tuesday,False,Spring,10.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,0 BEAR ST & SPRING ST,43.072056,-76.159525,2023-05-09
2023,1,1,1,4,Wednesday,False,Winter,13.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,0 VANN ST & DILLAYE AV,43.056603,-76.116938,2023-01-04
2023,1,3,9,1,Wednesday,False,Spring,0.0,Night (0-5),Part1,LARCENY,Property,2,False,False,0 VANN ST & GREENWAY AV,43.056423,-76.119489,2023-03-01
2023,2,6,23,10,Saturday,True,Summer,13.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-10
2023,2,6,25,23,Friday,False,Summer,6.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-06-23
2023,4,10,43,28,Saturday,True,Fall,21.0,Evening (18-23),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,0 VAN RENSSELAER ST & W KIRKPATRICK ST,43.058691,-76.166082,2023-10-28
2023,2,6,24,13,Tuesday,False,Summer,16.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-06-13
2023,1,2,5,2,Thursday,False,Winter,12.0,Afternoon (12-17),Part1,MV THEFT,Property,2,False,False,0 W BEAR ST & VAN RENSSELAER ST,43.061193,-76.17019,2023-02-02
2023,1,2,9,28,Tuesday,False,Winter,20.0,Evening (18-23),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-02-28
2023,4,12,52,25,Monday,False,Winter,20.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,100 DICKERSON ST,43.044444,-76.153619,2023-12-25
2023,3,7,26,2,Sunday,True,Summer,12.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,100 DICKERSON ST,43.044444,-76.153619,2023-07-02
2023,1,3,13,31,Friday,False,Spring,12.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,0 W CORNING AV & CANNON ST,43.018434,-76.145908,2023-03-31
2023,4,10,41,9,Monday,False,Fall,1.0,Night (0-5),Part1,MV THEFT,Property,2,False,False,100 DORWIN AV,42.98544,-76.14375,2023-10-09
